,,,F M E A,,,,,,,,,,,,,,,,Number: 1.1,,,,
,,,Process,,,,,,,,,,,,,,,,"Page:
",,,,
Item: Spot Welding,,,,,,,,Process responsibility: ,,,,,,,,Prepared by: ,,,,,,,
Model year(s)/vehicle(s): Spot Welding,,,,,,,,Completion date: ,,,,,,,,Created: 28-08-2025,,,Modified: 28-08-2025,,,,
Team: ,,,,,,,,,,,,,,,,,,,,,,,
Function,Potential failure,C,,Potential effect(s) of failure,S,C,C,,Potential cause(s) of failure,O,Current preventive action,Current detection action,D,RPN,Recommended action,,R/D,Action taken,,S,O,D,RPN
System element:  Welding Preperation,,,,,,,,,,,,,,,,,,,,,,,
Preparing for welding.,Spot Missing,,,"[Spot Welding]
Incorrect welding",7,,,,"[Robot]
Improper robot training.",3,Proper robot teaching,Teaching Validation,4,84,,,,,,,,,
,Spot  Position not as  per  drawing,,,"[Spot Welding]
Improper parts assembly",5,,,,"[Robot]
Improper robot training.",3,Proper robot teaching,Teaching Validation,4,60,,,,,,,,,
System element:  Weld Quality Control,,,,,,,,,,,,,,,,,,,,,,,
Ensuring welding and surface quality,Spot burr,,,"[Spot Welding]
Part breakage",9,,,,"[Work Piece]
Gap between parts due to faulty parts",3,Process qualification,Fixture verification on CMM,2,54,,,,,,,,,
,,,,"[Spot Welding]
Improper parts assembly",5,,,,,,,,,,,,,,,,,,
,,,,,,,,,"[Welding Equipment]
Tip dressing in not working properly",3,Tip dressing after 100 spots,Carbon  testing,3,81,,,,,,,,,
,Spot not round,,,"[Spot Welding]
Improper parts assembly",5,,,,"[Welding Equipment]
Tip dressing in not working properly",3,Tip dressing after 100 spots,Carbon  testing,3,45,,,,,,,,,
,,,,,,,,,"[Welding Equipment]
Incorrect Tip Alignment",4,Process qualification,Test after 100 spot,4,80,,,,,,,,,
,Weak spot,,,"[Spot Welding]
Part breakage",9,,,,"[Welding Equipment]
Tip dressing in not working properly",3,Tip dressing after 100 spots,Carbon  testing,3,81,,,,,,,,,
,,,,,,,,,"[Work Piece]
Excess gap between  two matting components",3,Process qualification,Fixture verification on CMM,3,81,,,,,,,,,
System element:  Welding Operation,,,,,,,,,,,,,,,,,,,,,,,
Performing spot welding operation,Weak spot,,,"[Spot Welding]
Part breakage",9,,,,"[Robot]
Less Current",4,Process qualification,setting    of online parameter display,3,108,,,,,,,,,
,,,,,,,,,"[Robot]
Less force",3,Process qualification,setting    of online parameter display,2,54,,,,,,,,,
,Deep spot,,,"[Spot Welding]
Poor Appearance",4,,,,"[Robot]
High Force",3,Process qualification,setting    of online parameter display,2,24,,,,,,,,,
,,,,,,,,,"[Robot]
More weld time",6,Process qualification,setting    of online parameter display,4,96,,,,,,,,,
,,,,,,,,,"[Welding Equipment]
Tip Alignment not ok",5,Process qualification,Carbon  testing,4,80,,,,,,,,,
,Spot burn,,,"[Spot Welding]
Poor Strength",7,,,,"[Robot]
High current",4,Process qualification,setting    of online parameter display,3,84,,,,,,,,,
,,,,,,,,,"[Robot]
More weld time",6,Process qualification,setting    of online parameter display,4,168,,,,,,,,,
,,,,,,,,,"[Robot]
High Force",3,Process qualification,setting    of online parameter display,2,42,,,,,,,,,
,Spot burr,,,"[Spot Welding]
Part breakage",9,,,,"[Robot]
More weld time",6,Process qualification,setting    of online parameter display,4,216,,,,,,,,,
,,,,,,,,,"[Robot]
High current",4,Process qualification,setting    of online parameter display,3,108,,,,,,,,,
,,,,"[Spot Welding]
Improper parts assembly",5,,,,,,,,,,,,,,,,,,
